"doi","study.year","latitude","longitude","elevation","MAT","MAP","soil.ph","litter.species","duration","nf","nc","kf","kc","sdf","sdc","yi","vi","invert.effect","weight","Region"
"10.1111/j.1365-2745.2009.01515.x",2003,4.083,-52.7,"110",25.8,2960,4.7,"Laurus nobilis",0.74,3,3,1.448,3.667,0.143658786,0.335832247,0.929190595,0.00607677,0.605126807,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,8.667,77.5,"1200",20,3000,6.25,"Laurus nobilis",0.74,3,3,1.141,1.671,0.113200742,0.153034002,0.381517179,0.00607677,0.317175344,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,8.933,-79.55,"80",25.8,3020,NA,"Laurus nobilis",0.74,3,3,1.246,2.316,0.123617988,0.212104577,0.619903139,0.00607677,0.462003454,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,-5.133,145.783,"50",26.5,3588,6.2,"Laurus nobilis",0.74,3,3,8.001,13.258,0.79379416,1.214197962,0.50503461,0.00607677,0.396515312,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,19.417,-154.95,"245",23,3600,5.93,"Laurus nobilis",0.74,3,3,0.882,0.99,0.087504868,0.090666464,0.115512887,0.00607677,0.109090909,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,-0.1,114,"200",25.1,3834,5.17,"Laurus nobilis",0.74,3,3,1.221,1.487,0.121137692,0.136182861,0.197090472,0.00607677,0.178883658,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,10.433,-83.983,"120",26,4000,4.9,"Laurus nobilis",0.74,3,3,3.972,7.971,0.394069542,0.73000241,0.696540209,0.00607677,0.501693639,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,8.483,-83.6,"30",26,5797,5.15,"Laurus nobilis",0.74,3,3,5.668,9.333,0.562332871,0.854737485,0.498720185,0.00607677,0.392692596,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,21.2,-89.55,"5",26,760,7.5,"Laurus nobilis",0.74,3,3,0.799,0.617,0.079270283,0.056506271,-0.258491922,0.00607677,-0.294975689,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,-22.717,-49.216,"670",21.4,1303,6.1,"Laurus nobilis",0.74,3,3,2.11,1.837,0.209337043,0.168236661,-0.138554141,0.00607677,-0.148611867,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,12.917,77.25,"1200",21,1438,6.93,"Laurus nobilis",0.74,3,3,0.991,2.909,0.098318962,0.266412873,1.076850124,0.00607677,0.659333104,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,15.633,99.2,"600",23.5,1475,6.64,"Laurus nobilis",0.74,3,3,0.783,4.847,0.077682893,0.443899345,1.82298254,0.00607677,0.838456777,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,10.833,-85.667,"320",25,1500,6.3,"Laurus nobilis",0.74,3,3,1.151,1.665,0.114192861,0.152484508,0.369193994,0.00607677,0.308708709,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,4.867,-74.367,"2800",11,1500,4.65,"Laurus nobilis",0.74,3,3,1.47,1.897,0.145841447,0.173731599,0.25501129,0.00607677,0.225092251,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,-15.783,-62.917,"400",23.6,1580,5.45,"Laurus nobilis",0.74,3,3,1.566,2.389,0.155365786,0.218790084,0.422350271,0.00607677,0.344495605,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,10.35,-85.35,"34",27,1700,7.1,"Laurus nobilis",0.74,3,3,1.183,2.391,0.117367641,0.218973248,0.703658103,0.00607677,0.505227938,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,8.933,-79.55,"140",26.2,1870,NA,"Laurus nobilis",0.74,3,3,2.589,4.735,0.256859528,0.433642129,0.603710026,0.00607677,0.453220697,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,9.15,-79.85,"120",26,2640,5.6,"Laurus nobilis",0.74,3,3,4.027,4.829,0.399526195,0.442250864,0.181617725,0.00607677,0.166079934,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,4.083,-52.7,"110",25.8,2960,4.7,"Laurus nobilis",0.74,3,3,2.909,7.291,0.288607326,0.667726455,0.918831331,0.00607677,0.60101495,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,8.667,77.5,"1200",20,3000,6.25,"Laurus nobilis",0.74,3,3,1.694,1.882,0.168064905,0.172357864,0.105242445,0.00607677,0.09989373,1.5,"Asia"
